# guard semantics: allocation-guard=panic/unwrap/expect (abort op, throw invariant); precondition-guard=Result/anyhow error path (record+partial result); n/a=non-error site
site	construct	rulebook_ref	guard	note
crates/mcp/src/client.rs:30	oneshot	§2.2 withResolvers	n/a	type InflightMap = HashMap<u64, oneshot::Sender<Result<serde_json::Value, RpcError>>>;
crates/mcp/src/client.rs:39	Mutex	§2.2 await-in-critical-section test	n/a	inflight: Arc<Mutex<InflightMap>>,
crates/mcp/src/client.rs:75	Mutex	§2.2 await-in-critical-section test	n/a	inflight: Arc<Mutex<InflightMap>>,
crates/mcp/src/client.rs:76	Mutex	§2.2 await-in-critical-section test	n/a	initialized: Arc<Mutex<bool>>,
crates/mcp/src/client.rs:79	Mutex	§2.2 await-in-critical-section test	n/a	catalog: Arc<Mutex<Vec<McpTool>>>,
crates/mcp/src/client.rs:85	mpsc channel	§2.2 AsyncQueue	n/a	notify_rx: Mutex<Option<mpsc::UnboundedReceiver<McpServerNotification>>>,
crates/mcp/src/client.rs:85	Mutex	§2.2 await-in-critical-section test	n/a	notify_rx: Mutex<Option<mpsc::UnboundedReceiver<McpServerNotification>>>,
crates/mcp/src/client.rs:91	Mutex	§2.2 await-in-critical-section test	n/a	let inflight: Arc<Mutex<InflightMap>> = Arc::new(Mutex::new(HashMap::new()));
crates/mcp/src/client.rs:94	mpsc channel	§2.2 AsyncQueue	n/a	let (pump_notify_tx, notify_rx) = mpsc::unbounded_channel::<McpServerNotification>();
crates/mcp/src/client.rs:95	tokio::spawn	§2.2 detach()	n/a	tokio::spawn(async move {
crates/mcp/src/client.rs:124	unwrap	§2.4 invariant()	allocation-guard	let id = id.unwrap();
crates/mcp/src/client.rs:179	mpsc channel	§2.2 AsyncQueue	n/a	pub fn take_notifications(&self) -> Option<mpsc::UnboundedReceiver<McpServerNotification>>
crates/mcp/src/client.rs:199	Notify	§2.2 Signal	n/a	// Notify server that we're ready.
crates/mcp/src/client.rs:268	oneshot	§2.2 withResolvers	n/a	let (tx, rx) = oneshot::channel();
crates/mcp/src/client.rs:296	select!	§2.2 selectN+abort	n/a	tokio::select! {
crates/mcp/src/http.rs:104	Mutex	§2.2 await-in-critical-section test	n/a	auth: Arc<Mutex<HttpMcpAuth>>,
crates/mcp/src/http.rs:108	mpsc channel	§2.2 AsyncQueue	n/a	tx: mpsc::Sender<Result<String, McpError>>,
crates/mcp/src/http.rs:109	mpsc channel	§2.2 AsyncQueue	n/a	rx: AsyncMutex<mpsc::Receiver<Result<String, McpError>>>,
crates/mcp/src/http.rs:109	Mutex	§2.2 await-in-critical-section test	n/a	rx: AsyncMutex<mpsc::Receiver<Result<String, McpError>>>,
crates/mcp/src/http.rs:111	Mutex	§2.2 await-in-critical-section test	n/a	sse_task: AsyncMutex<Option<JoinHandle<()>>>,
crates/mcp/src/http.rs:129	mpsc channel	§2.2 AsyncQueue	n/a	let (tx, rx) = mpsc::channel(256);
crates/mcp/src/http.rs:216	Mutex	§2.2 await-in-critical-section test	n/a	auth: Arc<Mutex<HttpMcpAuth>>,
crates/mcp/src/http.rs:221	mpsc channel	§2.2 AsyncQueue	n/a	tx: mpsc::Sender<Result<String, McpError>>,
crates/mcp/src/http.rs:224	tokio::spawn	§2.2 detach()	n/a	tokio::spawn(async move {
crates/mcp/src/http.rs:278	select!	§2.2 selectN+abort	n/a	tokio::select! {
crates/mcp/src/http.rs:290	mpsc channel	§2.2 AsyncQueue	n/a	tx: mpsc::Sender<Result<String, McpError>>,
crates/mcp/src/http.rs:306	tokio::spawn	§2.2 detach()	n/a	tokio::spawn(async move {
crates/mcp/src/http.rs:339	mpsc channel	§2.2 AsyncQueue	n/a	tx: mpsc::Sender<Result<String, McpError>>,
crates/mcp/src/http.rs:341	Mutex	§2.2 await-in-critical-section test	n/a	last_event_id: Option<std::sync::Arc<Mutex<Option<String>>>>,
crates/mcp/src/http.rs:381	select!	§2.2 selectN+abort	n/a	tokio::select! {
crates/mcp/src/http.rs:489	unwrap	§2.4 invariant()	allocation-guard	.unwrap();
crates/mcp/src/protocol.rs:92	serde tagged enum	§2.1 discriminated-union	n/a	#[serde(tag = "type")]
crates/mcp/src/stdio.rs:18	Mutex	§2.2 await-in-critical-section test	n/a	stdin: AsyncMutex<ChildStdin>,
crates/mcp/src/stdio.rs:19	mpsc channel	§2.2 AsyncQueue	n/a	rx: AsyncMutex<tokio::sync::mpsc::Receiver<Result<String, McpError>>>,
crates/mcp/src/stdio.rs:19	Mutex	§2.2 await-in-critical-section test	n/a	rx: AsyncMutex<tokio::sync::mpsc::Receiver<Result<String, McpError>>>,
crates/mcp/src/stdio.rs:20	Mutex	§2.2 await-in-critical-section test	n/a	child: AsyncMutex<Option<Child>>,
crates/mcp/src/stdio.rs:22	Mutex	§2.2 await-in-critical-section test	n/a	stderr_tail: Arc<Mutex<Vec<String>>>,
crates/mcp/src/stdio.rs:50	mpsc channel	§2.2 AsyncQueue	n/a	let (tx, rx) = tokio::sync::mpsc::channel::<Result<String, McpError>>(64);
crates/mcp/src/stdio.rs:52	tokio::spawn	§2.2 detach()	n/a	tokio::spawn(async move {
crates/mcp/src/stdio.rs:73	tokio::spawn	§2.2 detach()	n/a	tokio::spawn(async move {
crates/ai/src/api_registry.rs:51	Mutex	§2.2 await-in-critical-section test	n/a	fn registry() -> &'static Mutex<Registry> {
