fn_name	evidence_kind	evidence
agent/src/harness/session/jsonl_repo.rs::create	existing-test	packages/coding-agent/test/session-dir-purity.test.ts:90
agent/src/harness/session/jsonl_repo.rs::delete	existing-test	packages/coding-agent/test/session-manager/pie-session-helpers.test.ts:203
agent/src/harness/session/jsonl_storage.rs::create	existing-test	packages/coding-agent/test/session-dir-purity.test.ts:89
agent/src/harness/skills.rs::format_skill_invocation	existing-test	packages/agent/test/harness/resource-formatting.test.ts:14
agent/src/harness/system_prompt.rs::format_skills_for_system_prompt	existing-test	packages/agent/test/harness/system-prompt.test.ts:30
ai/src/bedrock_provider.rs::from_env	existing-test	packages/ai/test/bedrock-endpoint-resolution.test.ts:105
ai/src/bedrock_provider.rs::invoke	existing-test	packages/ai/test/bedrock-usage-and-stop-reason.test.ts:105
ai/src/env_api_keys.rs::get_env_api_key	existing-test	packages/ai/test/env-api-keys.test.ts:35
ai/src/session_resources.rs::cleanup_session_resources	new-test	packages/ai/test/ported/session-resources-batch-h.test.ts:90
ai/src/sigv4.rs::sign	dissolved-dependency	manifest: dissolved:adopted-@aws-sdk/signature-v4
ai/src/utils/oauth/anthropic.rs::exchange_authorization_code	existing-test	packages/ai/test/anthropic-oauth.test.ts:72
ai/src/utils/oauth/anthropic.rs::login	existing-test	packages/ai/test/anthropic-oauth.test.ts:153
ai/src/utils/oauth/anthropic.rs::refresh	existing-test	packages/ai/test/anthropic-oauth.test.ts:259
ai/src/utils/oauth/github_copilot.rs::login	existing-test	packages/ai/test/github-copilot-oauth.test.ts:53
ai/src/utils/oauth/github_copilot.rs::refresh	existing-test	packages/ai/test/github-copilot-oauth.test.ts:48
ai/src/utils/oauth/openai_codex.rs::login	oracle-stub	Upstream openai_codex.rs:6-8 returns Err("openai-codex OAuth not yet implemented"); there is no upstream behavior to compare against
ai/src/utils/oauth/openai_codex.rs::refresh	existing-test	packages/ai/test/openai-codex-oauth.test.ts:27
ai/src/vertex_adc.rs::fetch_access_token	existing-test	packages/ai/test/vertex-adc.test.ts:235
ai/src/vertex_adc.rs::load_service_account	existing-test	packages/ai/test/vertex-adc.test.ts:82
ai/src/vertex_provider.rs::from_env	existing-test	packages/ai/test/google-vertex-token-resolution.test.ts:210
ai/src/vertex_provider.rs::invoke	existing-test	packages/ai/test/google-vertex-oracle-parity.test.ts:80
coding-agent/src/bug_report.rs::build	existing-test	packages/coding-agent/test/bug-report.test.ts:60
coding-agent/src/export.rs::render	existing-test	packages/coding-agent/test/ported/export-e2e.test.ts:106
coding-agent/src/export.rs::render_context	existing-test	packages/coding-agent/test/ported/export-e2e.test.ts:107
coding-agent/src/export.rs::save	existing-test	packages/coding-agent/test/ported/export-e2e.test.ts:94
coding-agent/src/history.rs::save	existing-test	packages/coding-agent/test/history.test.ts:32
coding-agent/src/inbox.rs::append	existing-test	packages/coding-agent/test/ported/inbox.test.ts:39
coding-agent/src/logging.rs::init	existing-test	packages/coding-agent/test/logging.test.ts:111
coding-agent/src/markdown.rs::render_line	existing-test	packages/tui/test/markdown-stream.test.ts:16
coding-agent/src/markdown.rs::render_line	existing-test	packages/tui/test/markdown-stream.test.ts:16
coding-agent/src/model_picker.rs::view	existing-test	packages/coding-agent/test/model-picker.test.ts:315
coding-agent/src/model.rs::credential_less_default	existing-test	packages/coding-agent/test/ported/model-detect.test.ts:21
coding-agent/src/oauth.rs::authorize_url	existing-test	packages/coding-agent/test/oauth.test.ts:122
coding-agent/src/oauth.rs::await_callback	existing-test	packages/coding-agent/test/oauth.test.ts:199
coding-agent/src/oauth.rs::exchange_code	existing-test	packages/coding-agent/test/oauth.test.ts:298
coding-agent/src/oauth.rs::refresh_token	existing-test	packages/coding-agent/test/oauth.test.ts:360
coding-agent/src/session_archive.rs::activate_imported	existing-test	packages/coding-agent/test/session-archive.test.ts:247
coding-agent/src/session_archive.rs::export_session	existing-test	packages/coding-agent/test/session-archive.test.ts:188
coding-agent/src/session_archive.rs::import_session	existing-test	packages/coding-agent/test/session-archive.test.ts:175
coding-agent/src/session/mod.rs::delete_by_id	existing-test	packages/coding-agent/test/session-manager/pie-session-helpers.test.ts:202
coding-agent/src/skills_state.rs::save	existing-test	packages/coding-agent/test/ported/skills-state-batch-c.test.ts:168
coding-agent/src/tui.rs::render_event	existing-test	packages/coding-agent/test/ported/tui-render-e2e.test.ts:313
coding-agent/src/tui.rs::render_harness_event	existing-test	packages/coding-agent/test/ported/tui-render-e2e.test.ts:249
coding-agent/src/tui.rs::render_persisted	existing-test	packages/coding-agent/test/ported/tui-render-e2e.test.ts:313
mcp/src/http.rs::bearer	existing-test	packages/coding-agent/test/mcp-loader.test.ts:557
