oracle_file	fn_name	tier	rule_hit
agent/src/agent.rs	abort	medium	-
agent/src/agent.rs	continue_	medium	-
agent/src/agent.rs	convert_to_llm	medium	-
agent/src/agent.rs	drain	medium	-
agent/src/agent.rs	enqueue	medium	-
agent/src/agent.rs	enqueue_follow_up	medium	-
agent/src/agent.rs	has_items	medium	-
agent/src/agent.rs	is_streaming	medium	-
agent/src/agent.rs	new	medium	-
agent/src/agent.rs	prompt	medium	-
agent/src/agent.rs	state	medium	-
agent/src/agent.rs	subscribe	medium	-
agent/src/harness/agent_harness.rs	abort	low	-
agent/src/harness/agent_harness.rs	abort_all_triggers	low	-
agent/src/harness/agent_harness.rs	abort_trigger	low	-
agent/src/harness/agent_harness.rs	agent	low	-
agent/src/harness/agent_harness.rs	as_audit_str	low	-
agent/src/harness/agent_harness.rs	as_audit_str	low	-
agent/src/harness/agent_harness.rs	as_audit_str	low	-
agent/src/harness/agent_harness.rs	continue_	low	-
agent/src/harness/agent_harness.rs	cost	low	-
agent/src/harness/agent_harness.rs	default_for	low	-
agent/src/harness/agent_harness.rs	enqueue_follow_up	low	-
agent/src/harness/agent_harness.rs	evaluate	low	-
agent/src/harness/agent_harness.rs	force_compact	low	-
agent/src/harness/agent_harness.rs	handle_trigger	low	-
agent/src/harness/agent_harness.rs	move_to	low	-
agent/src/harness/agent_harness.rs	new	low	-
agent/src/harness/agent_harness.rs	new	low	-
agent/src/harness/agent_harness.rs	notification_status_snapshot	low	-
agent/src/harness/agent_harness.rs	prompt	low	-
agent/src/harness/agent_harness.rs	prompt_from_template	low	-
agent/src/harness/agent_harness.rs	prompt_with_images	low	-
agent/src/harness/agent_harness.rs	register_notification_hook	low	-
agent/src/harness/agent_harness.rs	rehydrate_from_session	low	-
agent/src/harness/agent_harness.rs	reload_skills_from_disk	low	-
agent/src/harness/agent_harness.rs	replace_skills	low	-
agent/src/harness/agent_harness.rs	reset_cost	low	-
agent/src/harness/agent_harness.rs	run_evaluator	low	-
agent/src/harness/agent_harness.rs	session	low	-
agent/src/harness/agent_harness.rs	set_compaction_settings	low	-
agent/src/harness/agent_harness.rs	set_model	low	-
agent/src/harness/agent_harness.rs	set_thinking_level	low	-
agent/src/harness/agent_harness.rs	skills	low	-
agent/src/harness/agent_harness.rs	subscribe	low	-
agent/src/harness/agent_harness.rs	subscribe_harness	low	-
agent/src/harness/agent_harness.rs	system_prompt	low	-
agent/src/harness/agent_harness.rs	templates	low	-
agent/src/harness/compaction/compaction.rs	calculate_context_tokens	low	-
agent/src/harness/compaction/compaction.rs	compact	low	-
agent/src/harness/compaction/compaction.rs	estimate_context_tokens	low	-
agent/src/harness/compaction/compaction.rs	estimate_text_tokens	low	-
agent/src/harness/compaction/compaction.rs	estimate_tokens	low	-
agent/src/harness/compaction/compaction.rs	find_cut_point	low	-
agent/src/harness/compaction/compaction.rs	find_turn_start_index	low	-
agent/src/harness/compaction/compaction.rs	generate_summary	low	-
agent/src/harness/compaction/compaction.rs	get_last_assistant_usage	low	-
agent/src/harness/compaction/compaction.rs	prepare_compaction	low	-
agent/src/harness/compaction/compaction.rs	serialize_conversation	low	-
agent/src/harness/compaction/compaction.rs	should_compact	low	-
agent/src/harness/cost.rs	as_listener	low	-
agent/src/harness/cost.rs	full_breakdown	low	-
agent/src/harness/cost.rs	new	low	-
agent/src/harness/cost.rs	one_line_summary	low	-
agent/src/harness/cost.rs	record	low	-
agent/src/harness/cost.rs	reset	low	-
agent/src/harness/cost.rs	snapshot	low	-
agent/src/harness/cost.rs	total_cost	low	-
agent/src/harness/env/native.rs	current	low	-
agent/src/harness/env/native.rs	new	low	-
agent/src/harness/messages.rs	branch_summary	low	-
agent/src/harness/messages.rs	compaction_summary	low	-
agent/src/harness/messages.rs	custom	low	-
agent/src/harness/notification_hook.rs	pending	low	-
agent/src/harness/permission.rs	as_before_tool_call	low	-
agent/src/harness/permission.rs	default_for_coding_agent	low	-
agent/src/harness/permission.rs	evaluate	low	-
agent/src/harness/permission.rs	evaluate_with_category	low	-
agent/src/harness/permission.rs	new	low	-
agent/src/harness/prompt_templates.rs	get	low	-
agent/src/harness/prompt_templates.rs	interpolate	low	-
agent/src/harness/prompt_templates.rs	list	low	-
agent/src/harness/prompt_templates.rs	load_templates	low	-
agent/src/harness/prompt_templates.rs	new	low	-
agent/src/harness/session/jsonl_repo.rs	create	high	filesystem
agent/src/harness/session/jsonl_repo.rs	delete	high	filesystem
agent/src/harness/session/jsonl_repo.rs	list	low	-
agent/src/harness/session/jsonl_repo.rs	new	low	-
agent/src/harness/session/jsonl_repo.rs	open	low	-
agent/src/harness/session/jsonl_repo.rs	root	low	-
agent/src/harness/session/jsonl_storage.rs	create	high	filesystem
agent/src/harness/session/jsonl_storage.rs	metadata	low	-
agent/src/harness/session/jsonl_storage.rs	open	low	-
agent/src/harness/session/jsonl_storage.rs	path	low	-
agent/src/harness/session/memory_repo.rs	count	low	-
agent/src/harness/session/memory_repo.rs	create	low	-
agent/src/harness/session/memory_repo.rs	delete_by_id	low	-
agent/src/harness/session/memory_repo.rs	list	low	-
agent/src/harness/session/memory_repo.rs	new	low	-
agent/src/harness/session/memory_storage.rs	new	low	-
agent/src/harness/session/repo_utils.rs	create_session_id	low	-
agent/src/harness/session/repo_utils.rs	create_timestamp	low	-
agent/src/harness/session/repo_utils.rs	get_entries_to_fork	low	-
agent/src/harness/session/repo_utils.rs	to_session	low	-
agent/src/harness/session/session.rs	append_compaction	low	-
agent/src/harness/session/session.rs	append_custom	low	-
agent/src/harness/session/session.rs	append_label	low	-
agent/src/harness/session/session.rs	append_message	low	-
agent/src/harness/session/session.rs	append_model_change	low	-
agent/src/harness/session/session.rs	append_session_name	low	-
agent/src/harness/session/session.rs	append_thinking_level_change	low	-
agent/src/harness/session/session.rs	branch	low	-
agent/src/harness/session/session.rs	build_context	low	-
agent/src/harness/session/session.rs	build_session_context	low	-
agent/src/harness/session/session.rs	entries	low	-
agent/src/harness/session/session.rs	get_entry	low	-
agent/src/harness/session/session.rs	id	low	-
agent/src/harness/session/session.rs	label	low	-
agent/src/harness/session/session.rs	leaf_id	low	-
agent/src/harness/session/session.rs	move_to	low	-
agent/src/harness/session/session.rs	new	low	-
agent/src/harness/session/session.rs	parent_id	low	-
agent/src/harness/session/session.rs	session_name	low	-
agent/src/harness/session/session.rs	storage	low	-
agent/src/harness/session/uuid.rs	uuidv7	low	-
agent/src/harness/skills.rs	format_skill_invocation	high	user-visible
agent/src/harness/skills.rs	load_skills	low	-
agent/src/harness/skills.rs	load_sourced_skills	low	-
agent/src/harness/system_prompt.rs	format_skills_for_system_prompt	high	user-visible
agent/src/harness/trigger_runtime.rs	config	low	-
agent/src/harness/trigger_runtime.rs	evaluate	low	-
agent/src/harness/trigger_runtime.rs	new	low	-
agent/src/harness/trigger_runtime.rs	record_follow_up_hop	low	-
agent/src/harness/trigger_runtime.rs	snapshot	low	-
agent/src/harness/trigger_runtime.rs	with_config	low	-
agent/src/harness/trigger.rs	is_terminal	low	-
agent/src/harness/trigger.rs	received_from	low	-
agent/src/harness/types.rs	label	medium	-
agent/src/harness/types.rs	new	medium	-
agent/src/harness/types.rs	new	medium	-
agent/src/types.rs	as_audit_str	medium	-
agent/src/types.rs	as_str	medium	-
agent/src/types.rs	default_convert_to_llm	medium	-
agent/src/types.rs	default_stream_fn	medium	-
ai/src/api_registry.rs	clear_api_providers	medium	-
ai/src/api_registry.rs	get_api_provider	medium	-
ai/src/api_registry.rs	register_api_provider	medium	-
ai/src/api_registry.rs	stream	medium	-
ai/src/api_registry.rs	stream_simple	medium	-
ai/src/api_registry.rs	unregister_api_providers	medium	-
ai/src/bedrock_anthropic.rs	new	low	-
ai/src/bedrock_provider.rs	from_env	high	credential
ai/src/bedrock_provider.rs	invoke	high	credential
ai/src/bedrock_provider.rs	register	low	-
ai/src/env_api_keys.rs	env_var_names	medium	-
ai/src/env_api_keys.rs	get_env_api_key	high	credential
ai/src/event_stream.rs	content_type	medium	-
