oracle_file	fn_name	oracle_line	source	rule_hit	batch
agent/src/agent.rs	abort	159	medium	-	C
agent/src/agent.rs	continue_	182	medium	-	C
agent/src/agent.rs	convert_to_llm	207	medium	-	C
agent/src/agent.rs	drain	90	medium	-	C
agent/src/agent.rs	enqueue	86	medium	-	C
agent/src/agent.rs	enqueue_follow_up	154	medium	-	C
agent/src/agent.rs	has_items	104	medium	-	C
agent/src/agent.rs	is_streaming	146	medium	-	C
agent/src/agent.rs	new	79	medium	-	C
agent/src/agent.rs	prompt	171	medium	-	C
agent/src/agent.rs	state	142	medium	-	C
agent/src/agent.rs	subscribe	130	medium	-	C
agent/src/harness/agent_harness.rs	continue_	1732	low	D	C
agent/src/harness/agent_harness.rs	evaluate	560	low	D	C
agent/src/harness/agent_harness.rs	force_compact	1946	low	D	C
agent/src/harness/agent_harness.rs	move_to	1616	low	C,D	C
agent/src/harness/agent_harness.rs	prompt	1684	low	D	C
agent/src/harness/agent_harness.rs	prompt_from_template	1662	low	D	C
agent/src/harness/agent_harness.rs	prompt_with_images	1695	low	D	C
agent/src/harness/agent_harness.rs	rehydrate_from_session	1639	low	D	C
agent/src/harness/agent_harness.rs	reload_skills_from_disk	1538	low	D	C
agent/src/harness/agent_harness.rs	run_evaluator	1974	low	D	C
agent/src/harness/agent_harness.rs	set_compaction_settings	1566	low	C	C
agent/src/harness/agent_harness.rs	set_model	1593	low	C,D	C
agent/src/harness/agent_harness.rs	set_thinking_level	1601	low	C,D	C
agent/src/harness/compaction/compaction.rs	compact	635	low	B,D	C
agent/src/harness/compaction/compaction.rs	estimate_context_tokens	166	low	B	C
agent/src/harness/compaction/compaction.rs	find_cut_point	246	low	B,D	C
agent/src/harness/compaction/compaction.rs	generate_summary	506	low	D	C
agent/src/harness/compaction/compaction.rs	should_compact	192	low	B	C
agent/src/harness/cost.rs	new	43	low	B	C
agent/src/harness/cost.rs	record	60	low	B	C
agent/src/harness/cost.rs	reset	54	low	B	C
agent/src/harness/cost.rs	snapshot	49	low	B	C
agent/src/harness/cost.rs	total_cost	25	low	B	C
agent/src/harness/env/native.rs	current	31	low	D	C
agent/src/harness/env/native.rs	new	27	low	B	C
agent/src/harness/notification_hook.rs	pending	135	low	B	C
agent/src/harness/permission.rs	default_for_coding_agent	78	low	B	C
agent/src/harness/permission.rs	evaluate	101	low	B	C
agent/src/harness/prompt_templates.rs	interpolate	36	low	B	C
agent/src/harness/prompt_templates.rs	new	23	low	B	C
agent/src/harness/session/jsonl_repo.rs	list	56	low	D	A
