oracle_key	ts_file	ts_lines	exports	hint
agent/src/harness/agent_harness.rs::abort@1570	packages/agent/src/harness/agent-harness.ts	3213	TriggerHandlingStartEvent,TriggerHandledEvent,TriggerPromptRequestEvent,PersistenceErrorEvent,TriggerExecutionStartedEvent,TriggerCompletedEvent,TriggerFailedEvent,TriggerRequestsMainRunEvent,TriggerPromotedEvent,PromotionPendingEvent,TurnEndedEvent,SkillsReloadedEvent,HarnessEvent,HarnessListener,BeforeTriggerDecision,BeforeTriggerContext,BeforeTriggerHook,TriggerPromptRequest,TriggerPromptDecision,OnTriggerPromptHook,TriggerDelivery,PromoteAction,PromotionCondition,PromotionConditionSkipReason,TriggerAction,BeforeTriggerActionContext,BeforeTriggerActionHook,RunningTriggerState,NotificationStatusSnapshot,ReloadSkillsFn,OnTurnEndContext,TurnEndAction,TurnEndDecision,OnTurnEndHook,EvaluatorOutput,EvaluatorError,AgentHarnessTriggerOptions,evaluatePromotionCondition,AgentHarness	substantial
agent/src/harness/agent_harness.rs::abort_all_triggers@1429	packages/agent/src/harness/agent-harness.ts	3213	TriggerHandlingStartEvent,TriggerHandledEvent,TriggerPromptRequestEvent,PersistenceErrorEvent,TriggerExecutionStartedEvent,TriggerCompletedEvent,TriggerFailedEvent,TriggerRequestsMainRunEvent,TriggerPromotedEvent,PromotionPendingEvent,TurnEndedEvent,SkillsReloadedEvent,HarnessEvent,HarnessListener,BeforeTriggerDecision,BeforeTriggerContext,BeforeTriggerHook,TriggerPromptRequest,TriggerPromptDecision,OnTriggerPromptHook,TriggerDelivery,PromoteAction,PromotionCondition,PromotionConditionSkipReason,TriggerAction,BeforeTriggerActionContext,BeforeTriggerActionHook,RunningTriggerState,NotificationStatusSnapshot,ReloadSkillsFn,OnTurnEndContext,TurnEndAction,TurnEndDecision,OnTurnEndHook,EvaluatorOutput,EvaluatorError,AgentHarnessTriggerOptions,evaluatePromotionCondition,AgentHarness	substantial
agent/src/harness/agent_harness.rs::abort_trigger@1420	packages/agent/src/harness/agent-harness.ts	3213	TriggerHandlingStartEvent,TriggerHandledEvent,TriggerPromptRequestEvent,PersistenceErrorEvent,TriggerExecutionStartedEvent,TriggerCompletedEvent,TriggerFailedEvent,TriggerRequestsMainRunEvent,TriggerPromotedEvent,PromotionPendingEvent,TurnEndedEvent,SkillsReloadedEvent,HarnessEvent,HarnessListener,BeforeTriggerDecision,BeforeTriggerContext,BeforeTriggerHook,TriggerPromptRequest,TriggerPromptDecision,OnTriggerPromptHook,TriggerDelivery,PromoteAction,PromotionCondition,PromotionConditionSkipReason,TriggerAction,BeforeTriggerActionContext,BeforeTriggerActionHook,RunningTriggerState,NotificationStatusSnapshot,ReloadSkillsFn,OnTurnEndContext,TurnEndAction,TurnEndDecision,OnTurnEndHook,EvaluatorOutput,EvaluatorError,AgentHarnessTriggerOptions,evaluatePromotionCondition,AgentHarness	substantial
agent/src/harness/agent_harness.rs::agent@1099	packages/agent/src/harness/agent-harness.ts	3213	TriggerHandlingStartEvent,TriggerHandledEvent,TriggerPromptRequestEvent,PersistenceErrorEvent,TriggerExecutionStartedEvent,TriggerCompletedEvent,TriggerFailedEvent,TriggerRequestsMainRunEvent,TriggerPromotedEvent,PromotionPendingEvent,TurnEndedEvent,SkillsReloadedEvent,HarnessEvent,HarnessListener,BeforeTriggerDecision,BeforeTriggerContext,BeforeTriggerHook,TriggerPromptRequest,TriggerPromptDecision,OnTriggerPromptHook,TriggerDelivery,PromoteAction,PromotionCondition,PromotionConditionSkipReason,TriggerAction,BeforeTriggerActionContext,BeforeTriggerActionHook,RunningTriggerState,NotificationStatusSnapshot,ReloadSkillsFn,OnTurnEndContext,TurnEndAction,TurnEndDecision,OnTurnEndHook,EvaluatorOutput,EvaluatorError,AgentHarnessTriggerOptions,evaluatePromotionCondition,AgentHarness	substantial+named
agent/src/harness/agent_harness.rs::as_audit_str@307	packages/agent/src/harness/agent-harness.ts	3213	TriggerHandlingStartEvent,TriggerHandledEvent,TriggerPromptRequestEvent,PersistenceErrorEvent,TriggerExecutionStartedEvent,TriggerCompletedEvent,TriggerFailedEvent,TriggerRequestsMainRunEvent,TriggerPromotedEvent,PromotionPendingEvent,TurnEndedEvent,SkillsReloadedEvent,HarnessEvent,HarnessListener,BeforeTriggerDecision,BeforeTriggerContext,BeforeTriggerHook,TriggerPromptRequest,TriggerPromptDecision,OnTriggerPromptHook,TriggerDelivery,PromoteAction,PromotionCondition,PromotionConditionSkipReason,TriggerAction,BeforeTriggerActionContext,BeforeTriggerActionHook,RunningTriggerState,NotificationStatusSnapshot,ReloadSkillsFn,OnTurnEndContext,TurnEndAction,TurnEndDecision,OnTurnEndHook,EvaluatorOutput,EvaluatorError,AgentHarnessTriggerOptions,evaluatePromotionCondition,AgentHarness	substantial
agent/src/harness/agent_harness.rs::as_audit_str@610	packages/agent/src/harness/agent-harness.ts	3213	TriggerHandlingStartEvent,TriggerHandledEvent,TriggerPromptRequestEvent,PersistenceErrorEvent,TriggerExecutionStartedEvent,TriggerCompletedEvent,TriggerFailedEvent,TriggerRequestsMainRunEvent,TriggerPromotedEvent,PromotionPendingEvent,TurnEndedEvent,SkillsReloadedEvent,HarnessEvent,HarnessListener,BeforeTriggerDecision,BeforeTriggerContext,BeforeTriggerHook,TriggerPromptRequest,TriggerPromptDecision,OnTriggerPromptHook,TriggerDelivery,PromoteAction,PromotionCondition,PromotionConditionSkipReason,TriggerAction,BeforeTriggerActionContext,BeforeTriggerActionHook,RunningTriggerState,NotificationStatusSnapshot,ReloadSkillsFn,OnTurnEndContext,TurnEndAction,TurnEndDecision,OnTurnEndHook,EvaluatorOutput,EvaluatorError,AgentHarnessTriggerOptions,evaluatePromotionCondition,AgentHarness	substantial
agent/src/harness/agent_harness.rs::as_audit_str@713	packages/agent/src/harness/agent-harness.ts	3213	TriggerHandlingStartEvent,TriggerHandledEvent,TriggerPromptRequestEvent,PersistenceErrorEvent,TriggerExecutionStartedEvent,TriggerCompletedEvent,TriggerFailedEvent,TriggerRequestsMainRunEvent,TriggerPromotedEvent,PromotionPendingEvent,TurnEndedEvent,SkillsReloadedEvent,HarnessEvent,HarnessListener,BeforeTriggerDecision,BeforeTriggerContext,BeforeTriggerHook,TriggerPromptRequest,TriggerPromptDecision,OnTriggerPromptHook,TriggerDelivery,PromoteAction,PromotionCondition,PromotionConditionSkipReason,TriggerAction,BeforeTriggerActionContext,BeforeTriggerActionHook,RunningTriggerState,NotificationStatusSnapshot,ReloadSkillsFn,OnTurnEndContext,TurnEndAction,TurnEndDecision,OnTurnEndHook,EvaluatorOutput,EvaluatorError,AgentHarnessTriggerOptions,evaluatePromotionCondition,AgentHarness	substantial
agent/src/harness/agent_harness.rs::cost@1046	packages/agent/src/harness/agent-harness.ts	3213	TriggerHandlingStartEvent,TriggerHandledEvent,TriggerPromptRequestEvent,PersistenceErrorEvent,TriggerExecutionStartedEvent,TriggerCompletedEvent,TriggerFailedEvent,TriggerRequestsMainRunEvent,TriggerPromotedEvent,PromotionPendingEvent,TurnEndedEvent,SkillsReloadedEvent,HarnessEvent,HarnessListener,BeforeTriggerDecision,BeforeTriggerContext,BeforeTriggerHook,TriggerPromptRequest,TriggerPromptDecision,OnTriggerPromptHook,TriggerDelivery,PromoteAction,PromotionCondition,PromotionConditionSkipReason,TriggerAction,BeforeTriggerActionContext,BeforeTriggerActionHook,RunningTriggerState,NotificationStatusSnapshot,ReloadSkillsFn,OnTurnEndContext,TurnEndAction,TurnEndDecision,OnTurnEndHook,EvaluatorOutput,EvaluatorError,AgentHarnessTriggerOptions,evaluatePromotionCondition,AgentHarness	substantial
agent/src/harness/agent_harness.rs::default_for@481	packages/agent/src/harness/agent-harness.ts	3213	TriggerHandlingStartEvent,TriggerHandledEvent,TriggerPromptRequestEvent,PersistenceErrorEvent,TriggerExecutionStartedEvent,TriggerCompletedEvent,TriggerFailedEvent,TriggerRequestsMainRunEvent,TriggerPromotedEvent,PromotionPendingEvent,TurnEndedEvent,SkillsReloadedEvent,HarnessEvent,HarnessListener,BeforeTriggerDecision,BeforeTriggerContext,BeforeTriggerHook,TriggerPromptRequest,TriggerPromptDecision,OnTriggerPromptHook,TriggerDelivery,PromoteAction,PromotionCondition,PromotionConditionSkipReason,TriggerAction,BeforeTriggerActionContext,BeforeTriggerActionHook,RunningTriggerState,NotificationStatusSnapshot,ReloadSkillsFn,OnTurnEndContext,TurnEndAction,TurnEndDecision,OnTurnEndHook,EvaluatorOutput,EvaluatorError,AgentHarnessTriggerOptions,evaluatePromotionCondition,AgentHarness	substantial
agent/src/harness/agent_harness.rs::enqueue_follow_up@1584	packages/agent/src/harness/agent-harness.ts	3213	TriggerHandlingStartEvent,TriggerHandledEvent,TriggerPromptRequestEvent,PersistenceErrorEvent,TriggerExecutionStartedEvent,TriggerCompletedEvent,TriggerFailedEvent,TriggerRequestsMainRunEvent,TriggerPromotedEvent,PromotionPendingEvent,TurnEndedEvent,SkillsReloadedEvent,HarnessEvent,HarnessListener,BeforeTriggerDecision,BeforeTriggerContext,BeforeTriggerHook,TriggerPromptRequest,TriggerPromptDecision,OnTriggerPromptHook,TriggerDelivery,PromoteAction,PromotionCondition,PromotionConditionSkipReason,TriggerAction,BeforeTriggerActionContext,BeforeTriggerActionHook,RunningTriggerState,NotificationStatusSnapshot,ReloadSkillsFn,OnTurnEndContext,TurnEndAction,TurnEndDecision,OnTurnEndHook,EvaluatorOutput,EvaluatorError,AgentHarnessTriggerOptions,evaluatePromotionCondition,AgentHarness	substantial
