oracle_key	ts_file	ts_lines	exports	hint
coding-agent/src/debug.rs::wrap_stream_fn@21	packages/coding-agent/src/debug.ts	433	DEBUG_PREVIEW_MAX_CHARS,DEBUG_PREVIEW_MAX_LINES,FeedLevel,FeedUpdate,FeedSink,wrapStreamFn,startLine,contextLine,toolCallLine,doneLine,debugPreview,boundedPreview	substantial+named
coding-agent/src/hooks.rs::harness_listener@304	packages/coding-agent/src/hooks.ts	867	HookEvent,parseHookEvent,HookCwd,OnFailure,HookRule,HookPayload,LoadedHooks,parseHooksFileText,pushRules,load,HookRunnerOptions,HookRunner	substantial
coding-agent/src/hooks.rs::listener@294	packages/coding-agent/src/hooks.ts	867	HookEvent,parseHookEvent,HookCwd,OnFailure,HookRule,HookPayload,LoadedHooks,parseHooksFileText,pushRules,load,HookRunnerOptions,HookRunner	substantial
coding-agent/src/hooks.rs::load@152	packages/coding-agent/src/hooks.ts	867	HookEvent,parseHookEvent,HookCwd,OnFailure,HookRule,HookPayload,LoadedHooks,parseHooksFileText,pushRules,load,HookRunnerOptions,HookRunner	substantial+named
coding-agent/src/logging.rs::logs_dir@90	packages/coding-agent/src/logging.ts	406	LogLevel,SpanAttributes,SpanLayer,LoggingHandle,init,logsDir,short,SpanHandle,emit,span,EnvFilter,parseEnvFilter,filterEnabled	substantial+named
coding-agent/src/lsp_supervisor.rs::as_after_tool_call@163	packages/coding-agent/src/lsp-supervisor.ts	360	LanguageConfig,LspConfig,parseLspConfigText,LspSupervisor,AfterToolCallHook,asAfterToolCallHook,attachDiagnostics	substantial+named
coding-agent/src/lsp_supervisor.rs::from_config@52	packages/coding-agent/src/lsp-supervisor.ts	360	LanguageConfig,LspConfig,parseLspConfigText,LspSupervisor,AfterToolCallHook,asAfterToolCallHook,attachDiagnostics	substantial
coding-agent/src/lsp_supervisor.rs::is_empty@106	packages/coding-agent/src/lsp-supervisor.ts	360	LanguageConfig,LspConfig,parseLspConfigText,LspSupervisor,AfterToolCallHook,asAfterToolCallHook,attachDiagnostics	substantial
coding-agent/src/lsp_supervisor.rs::language_count@110	packages/coding-agent/src/lsp-supervisor.ts	360	LanguageConfig,LspConfig,parseLspConfigText,LspSupervisor,AfterToolCallHook,asAfterToolCallHook,attachDiagnostics	substantial
coding-agent/src/lsp_supervisor.rs::load@78	packages/coding-agent/src/lsp-supervisor.ts	360	LanguageConfig,LspConfig,parseLspConfigText,LspSupervisor,AfterToolCallHook,asAfterToolCallHook,attachDiagnostics	substantial
coding-agent/src/lsp.rs::await_diagnostics@206	packages/coding-agent/src/lsp.ts	545	Position,DiagnosticRange,Diagnostic,LspClient	substantial+named
coding-agent/src/lsp.rs::diagnostics_for@196	packages/coding-agent/src/lsp.ts	545	Position,DiagnosticRange,Diagnostic,LspClient	substantial+named
coding-agent/src/lsp.rs::shutdown@214	packages/coding-agent/src/lsp.ts	545	Position,DiagnosticRange,Diagnostic,LspClient	substantial
coding-agent/src/main.rs::user_message@1262	packages/coding-agent/src/main.ts	1689	MainOptions,main	substantial
coding-agent/src/mcp_loader.rs::load_all@100	packages/coding-agent/src/mcp-loader.ts	500	ServerKind,HttpAuthConfig,ReconnectConfig,ServerConfig,McpConfig,parseMcpConfigText,LoadedMcp,loadAll,connectAll,resolveHttpAuthFromStore	substantial+named
coding-agent/src/oauth.rs::redirect_uri@57	packages/coding-agent/src/oauth.ts	547	FlowOptions,Authorization,TokenResponse,Flow,ParsedLoginCommand,LOGIN_USAGE_ERROR,parseLoginCommand	substantial
