oracle_key	ts_file	ts_lines	exports	hint
ai/src/bedrock_provider.rs::register@199	packages/ai/src/bedrock-provider.ts	7	bedrockProviderModule	stub
ai/src/image_models.rs::get_image_model@6	packages/ai/src/image-models.ts	58	getImageModel,getImageProviders,getImageModels,listAllImageModels	substantial+named
ai/src/image_models.rs::list_image_models@13	packages/ai/src/image-models.ts	58	getImageModel,getImageProviders,getImageModels,listAllImageModels	substantial
ai/src/models.rs::get_model@23	packages/ai/src/models.ts	127	getModel,getProviders,getModels,listModels,listApis,calculateCost,getSupportedThinkingLevels,clampThinkingLevel,modelsAreEqual	substantial+named
ai/src/models.rs::list_apis@52	packages/ai/src/models.ts	127	getModel,getProviders,getModels,listModels,listApis,calculateCost,getSupportedThinkingLevels,clampThinkingLevel,modelsAreEqual	substantial+named
ai/src/models.rs::list_models@34	packages/ai/src/models.ts	127	getModel,getProviders,getModels,listModels,listApis,calculateCost,getSupportedThinkingLevels,clampThinkingLevel,modelsAreEqual	substantial+named
ai/src/models.rs::register_custom_model@41	packages/ai/src/models.ts	127	getModel,getProviders,getModels,listModels,listApis,calculateCost,getSupportedThinkingLevels,clampThinkingLevel,modelsAreEqual	substantial
ai/src/models.rs::unregister_custom_model@47	packages/ai/src/models.ts	127	getModel,getProviders,getModels,listModels,listApis,calculateCost,getSupportedThinkingLevels,clampThinkingLevel,modelsAreEqual	substantial
ai/src/providers/cloudflare.rs::is_cloudflare_provider@25	packages/ai/src/providers/cloudflare.ts	56	CLOUDFLARE_WORKERS_AI_BASE_URL,CLOUDFLARE_AI_GATEWAY_COMPAT_BASE_URL,CLOUDFLARE_AI_GATEWAY_OPENAI_BASE_URL,CLOUDFLARE_AI_GATEWAY_ANTHROPIC_BASE_URL,isCloudflareProvider,resolveCloudflareBaseUrl	substantial+named
ai/src/providers/faux.rs::faux_thinking@51	packages/ai/src/providers/faux.ts	517	FauxModelDefinition,FauxContentBlock,fauxText,fauxThinking,fauxToolCall,fauxAssistantMessage,FauxResponseFactory,FauxResponseStep,RegisterFauxProviderOptions,FauxProviderRegistration,registerFauxProvider	substantial+named
ai/src/providers/github_copilot_headers.rs::copilot_headers@7	packages/ai/src/providers/github-copilot-headers.ts	38	inferCopilotInitiator,hasCopilotVisionInput,buildCopilotDynamicHeaders	substantial
ai/src/providers/google_shared.rs::convert_messages@41	packages/ai/src/providers/google-shared.ts	352	GoogleThinkingLevel,isThinkingPart,retainThoughtSignature,requiresToolCallId,convertMessages,convertTools,mapToolChoice,mapStopReason,mapStopReasonString	substantial+named
ai/src/providers/google_shared.rs::convert_tools@134	packages/ai/src/providers/google-shared.ts	352	GoogleThinkingLevel,isThinkingPart,retainThoughtSignature,requiresToolCallId,convertMessages,convertTools,mapToolChoice,mapStopReason,mapStopReasonString	substantial+named
ai/src/providers/google_shared.rs::is_thinking_part@13	packages/ai/src/providers/google-shared.ts	352	GoogleThinkingLevel,isThinkingPart,retainThoughtSignature,requiresToolCallId,convertMessages,convertTools,mapToolChoice,mapStopReason,mapStopReasonString	substantial+named
ai/src/providers/google_shared.rs::map_stop_reason@30	packages/ai/src/providers/google-shared.ts	352	GoogleThinkingLevel,isThinkingPart,retainThoughtSignature,requiresToolCallId,convertMessages,convertTools,mapToolChoice,mapStopReason,mapStopReasonString	substantial+named
ai/src/providers/google_shared.rs::retain_thought_signature@20	packages/ai/src/providers/google-shared.ts	352	GoogleThinkingLevel,isThinkingPart,retainThoughtSignature,requiresToolCallId,convertMessages,convertTools,mapToolChoice,mapStopReason,mapStopReasonString	substantial+named
ai/src/providers/images/register_builtins.rs::ensure@8	packages/ai/src/providers/images/register-builtins.ts	51	generateImagesOpenRouter,registerBuiltInImagesApiProviders	substantial
ai/src/providers/openai_prompt_cache.rs::placeholder@4	packages/ai/src/providers/openai-prompt-cache.ts	9	OPENAI_PROMPT_CACHE_KEY_MAX_LENGTH,clampOpenAIPromptCacheKey	stub
ai/src/providers/openai_responses_shared.rs::placeholder@4	packages/ai/src/providers/openai-responses-shared.ts	689	OpenAIResponsesStreamOptions,ConvertResponsesMessagesOptions,ConvertResponsesToolsOptions,convertResponsesMessages,convertResponsesTools,processResponsesStream	substantial
ai/src/providers/register_builtins.rs::ensure@12	packages/ai/src/providers/register-builtins.ts	407	setBedrockProviderModule,streamAnthropic,streamSimpleAnthropic,streamAzureOpenAIResponses,streamSimpleAzureOpenAIResponses,streamGoogle,streamSimpleGoogle,streamGoogleVertex,streamSimpleGoogleVertex,streamMistral,streamSimpleMistral,streamOpenAICodexResponses,streamSimpleOpenAICodexResponses,streamOpenAICompletions,streamSimpleOpenAICompletions,streamOpenAIResponses,streamSimpleOpenAIResponses,registerBuiltInApiProviders,resetApiProviders	substantial
ai/src/stream.rs::complete@30	packages/ai/src/stream.ts	67	stream,complete,streamSimple,completeSimple,getEnvApiKey	substantial+named
ai/src/stream.rs::complete_simple@49	packages/ai/src/stream.ts	67	stream,complete,streamSimple,completeSimple,getEnvApiKey	substantial+named
ai/src/stream.rs::stream@19	packages/ai/src/stream.ts	67	stream,complete,streamSimple,completeSimple,getEnvApiKey	substantial+named
ai/src/stream.rs::stream_simple@38	packages/ai/src/stream.ts	67	stream,complete,streamSimple,completeSimple,getEnvApiKey	substantial+named
ai/src/utils/headers.rs::user_agent@5	packages/ai/src/utils/headers.ts	14	headersToRecord,userAgent	substantial+named
ai/src/utils/sanitize_unicode.rs::sanitize_surrogates@9	packages/ai/src/utils/sanitize-unicode.ts	26	sanitizeSurrogates	substantial+named
ai/src/utils/typebox_helpers.rs::boolean@13	packages/ai/src/utils/typebox-helpers.ts	29	StringEnum	substantial
ai/src/utils/typebox_helpers.rs::number@18	packages/ai/src/utils/typebox-helpers.ts	29	StringEnum	substantial
ai/src/utils/typebox_helpers.rs::object@23	packages/ai/src/utils/typebox-helpers.ts	29	StringEnum	substantial
ai/src/utils/typebox_helpers.rs::string@8	packages/ai/src/utils/typebox-helpers.ts	29	StringEnum	substantial+named
mcp/src/client.rs::catalog@223	packages/mcp/src/client.ts	333	McpServerNotification,NotificationReceiver,ClientCapabilities,McpClient	substantial
mcp/src/client.rs::close@249	packages/mcp/src/client.ts	333	McpServerNotification,NotificationReceiver,ClientCapabilities,McpClient	substantial
mcp/src/client.rs::is_initialized@208	packages/mcp/src/client.ts	333	McpServerNotification,NotificationReceiver,ClientCapabilities,McpClient	substantial
mcp/src/client.rs::new@90	packages/mcp/src/client.ts	333	McpServerNotification,NotificationReceiver,ClientCapabilities,McpClient	substantial
mcp/src/client.rs::take_notifications@179	packages/mcp/src/client.ts	333	McpServerNotification,NotificationReceiver,ClientCapabilities,McpClient	substantial
mcp/src/client.rs::with_timeout@183	packages/mcp/src/client.ts	333	McpServerNotification,NotificationReceiver,ClientCapabilities,McpClient	substantial
