oracle_key	ts_file	ts_lines	exports	hint
agent/src/agent.rs::convert_to_llm@207	packages/agent/src/agent.ts	583	AgentOptions,Agent	substantial
agent/src/agent.rs::enqueue_follow_up@154	packages/agent/src/agent.ts	583	AgentOptions,Agent	substantial
agent/src/harness/agent_harness.rs::force_compact@1946	packages/agent/src/harness/agent-harness.ts	3213	TriggerHandlingStartEvent,TriggerHandledEvent,TriggerPromptRequestEvent,PersistenceErrorEvent,TriggerExecutionStartedEvent,TriggerCompletedEvent,TriggerFailedEvent,TriggerRequestsMainRunEvent,TriggerPromotedEvent,PromotionPendingEvent,TurnEndedEvent,SkillsReloadedEvent,HarnessEvent,HarnessListener,BeforeTriggerDecision,BeforeTriggerContext,BeforeTriggerHook,TriggerPromptRequest,TriggerPromptDecision,OnTriggerPromptHook,TriggerDelivery,PromoteAction,PromotionCondition,PromotionConditionSkipReason,TriggerAction,BeforeTriggerActionContext,BeforeTriggerActionHook,RunningTriggerState,NotificationStatusSnapshot,ReloadSkillsFn,OnTurnEndContext,TurnEndAction,TurnEndDecision,OnTurnEndHook,EvaluatorOutput,EvaluatorError,AgentHarnessTriggerOptions,evaluatePromotionCondition,AgentHarness	substantial
agent/src/harness/agent_harness.rs::prompt_with_images@1695	packages/agent/src/harness/agent-harness.ts	3213	TriggerHandlingStartEvent,TriggerHandledEvent,TriggerPromptRequestEvent,PersistenceErrorEvent,TriggerExecutionStartedEvent,TriggerCompletedEvent,TriggerFailedEvent,TriggerRequestsMainRunEvent,TriggerPromotedEvent,PromotionPendingEvent,TurnEndedEvent,SkillsReloadedEvent,HarnessEvent,HarnessListener,BeforeTriggerDecision,BeforeTriggerContext,BeforeTriggerHook,TriggerPromptRequest,TriggerPromptDecision,OnTriggerPromptHook,TriggerDelivery,PromoteAction,PromotionCondition,PromotionConditionSkipReason,TriggerAction,BeforeTriggerActionContext,BeforeTriggerActionHook,RunningTriggerState,NotificationStatusSnapshot,ReloadSkillsFn,OnTurnEndContext,TurnEndAction,TurnEndDecision,OnTurnEndHook,EvaluatorOutput,EvaluatorError,AgentHarnessTriggerOptions,evaluatePromotionCondition,AgentHarness	substantial
agent/src/harness/agent_harness.rs::set_compaction_settings@1566	packages/agent/src/harness/agent-harness.ts	3213	TriggerHandlingStartEvent,TriggerHandledEvent,TriggerPromptRequestEvent,PersistenceErrorEvent,TriggerExecutionStartedEvent,TriggerCompletedEvent,TriggerFailedEvent,TriggerRequestsMainRunEvent,TriggerPromotedEvent,PromotionPendingEvent,TurnEndedEvent,SkillsReloadedEvent,HarnessEvent,HarnessListener,BeforeTriggerDecision,BeforeTriggerContext,BeforeTriggerHook,TriggerPromptRequest,TriggerPromptDecision,OnTriggerPromptHook,TriggerDelivery,PromoteAction,PromotionCondition,PromotionConditionSkipReason,TriggerAction,BeforeTriggerActionContext,BeforeTriggerActionHook,RunningTriggerState,NotificationStatusSnapshot,ReloadSkillsFn,OnTurnEndContext,TurnEndAction,TurnEndDecision,OnTurnEndHook,EvaluatorOutput,EvaluatorError,AgentHarnessTriggerOptions,evaluatePromotionCondition,AgentHarness	substantial
agent/src/harness/env/native.rs::current@31		0		no-file
agent/src/harness/trigger_runtime.rs::with_config@145	packages/agent/src/harness/trigger-runtime.ts	258	DEFAULT_DEDUP_WINDOW_MS,DEFAULT_CYCLE_HOP_LIMIT,MAX_DEDUP_WINDOW_MS,TriggerRuntimeConfig,EvaluationOutcome,TriggerRuntimeSnapshot,TriggerRuntime	substantial
agent/src/harness/trigger.rs::is_terminal@210	packages/agent/src/harness/trigger.ts	344	TriggerSource,SourceKind,PayloadVisibility,ReplacementPolicy,CredentialScope,TriggerAuthority,Trigger,TriggerState,isTriggerStateTerminal,TriggerRecord,TRIGGER_RECORD_SCHEMA_VERSION,TRIGGER_RECORD_CUSTOM_TYPE,triggerRecordReceivedFrom,decodeTrigger,decodeTriggerRecord	substantial
agent/src/harness/trigger.rs::received_from@269	packages/agent/src/harness/trigger.ts	344	TriggerSource,SourceKind,PayloadVisibility,ReplacementPolicy,CredentialScope,TriggerAuthority,Trigger,TriggerState,isTriggerStateTerminal,TriggerRecord,TRIGGER_RECORD_SCHEMA_VERSION,TRIGGER_RECORD_CUSTOM_TYPE,triggerRecordReceivedFrom,decodeTrigger,decodeTriggerRecord	substantial+named
agent/src/types.rs::as_audit_str@472	packages/agent/src/types.ts	552	StreamFn,ToolExecutionMode,QueueMode,AgentToolCall,PermissionClassification,ControlPlanePromptRequest,ControlPlanePromptDecision,BeforeToolCallResult,AfterToolCallResult,BeforeToolCallContext,AfterToolCallContext,ShouldStopAfterTurnContext,AgentLoopTurnUpdate,PrepareNextTurnContext,AgentLoopConfig,ThinkingLevel,CustomAgentMessages,AgentMessage,AgentState,AgentToolResult,AgentToolUpdateCallback,AgentToolErrorCode,AgentToolError,AgentTool,AgentContext,AgentEvent	substantial
