oracle_key	ts_file	ts_lines	exports	hint
agent/src/agent.rs::active_token@166	packages/agent/src/agent.ts	583	AgentOptions,Agent	substantial
agent/src/agent.rs::enqueue_steering@150	packages/agent/src/agent.ts	583	AgentOptions,Agent	substantial
agent/src/agent.rs::prompt_many@176	packages/agent/src/agent.ts	583	AgentOptions,Agent	substantial
agent/src/harness/agent_harness.rs::enqueue_steering@1580	packages/agent/src/harness/agent-harness.ts	3213	TriggerHandlingStartEvent,TriggerHandledEvent,TriggerPromptRequestEvent,PersistenceErrorEvent,TriggerExecutionStartedEvent,TriggerCompletedEvent,TriggerFailedEvent,TriggerRequestsMainRunEvent,TriggerPromotedEvent,PromotionPendingEvent,TurnEndedEvent,SkillsReloadedEvent,HarnessEvent,HarnessListener,BeforeTriggerDecision,BeforeTriggerContext,BeforeTriggerHook,TriggerPromptRequest,TriggerPromptDecision,OnTriggerPromptHook,TriggerDelivery,PromoteAction,PromotionCondition,PromotionConditionSkipReason,TriggerAction,BeforeTriggerActionContext,BeforeTriggerActionHook,RunningTriggerState,NotificationStatusSnapshot,ReloadSkillsFn,OnTurnEndContext,TurnEndAction,TurnEndDecision,OnTurnEndHook,EvaluatorOutput,EvaluatorError,AgentHarnessTriggerOptions,evaluatePromotionCondition,AgentHarness	substantial
agent/src/harness/agent_harness.rs::format_skill@2156	packages/agent/src/harness/agent-harness.ts	3213	TriggerHandlingStartEvent,TriggerHandledEvent,TriggerPromptRequestEvent,PersistenceErrorEvent,TriggerExecutionStartedEvent,TriggerCompletedEvent,TriggerFailedEvent,TriggerRequestsMainRunEvent,TriggerPromotedEvent,PromotionPendingEvent,TurnEndedEvent,SkillsReloadedEvent,HarnessEvent,HarnessListener,BeforeTriggerDecision,BeforeTriggerContext,BeforeTriggerHook,TriggerPromptRequest,TriggerPromptDecision,OnTriggerPromptHook,TriggerDelivery,PromoteAction,PromotionCondition,PromotionConditionSkipReason,TriggerAction,BeforeTriggerActionContext,BeforeTriggerActionHook,RunningTriggerState,NotificationStatusSnapshot,ReloadSkillsFn,OnTurnEndContext,TurnEndAction,TurnEndDecision,OnTurnEndHook,EvaluatorOutput,EvaluatorError,AgentHarnessTriggerOptions,evaluatePromotionCondition,AgentHarness	substantial
agent/src/harness/agent_harness.rs::replace_prompt_templates@1555	packages/agent/src/harness/agent-harness.ts	3213	TriggerHandlingStartEvent,TriggerHandledEvent,TriggerPromptRequestEvent,PersistenceErrorEvent,TriggerExecutionStartedEvent,TriggerCompletedEvent,TriggerFailedEvent,TriggerRequestsMainRunEvent,TriggerPromotedEvent,PromotionPendingEvent,TurnEndedEvent,SkillsReloadedEvent,HarnessEvent,HarnessListener,BeforeTriggerDecision,BeforeTriggerContext,BeforeTriggerHook,TriggerPromptRequest,TriggerPromptDecision,OnTriggerPromptHook,TriggerDelivery,PromoteAction,PromotionCondition,PromotionConditionSkipReason,TriggerAction,BeforeTriggerActionContext,BeforeTriggerActionHook,RunningTriggerState,NotificationStatusSnapshot,ReloadSkillsFn,OnTurnEndContext,TurnEndAction,TurnEndDecision,OnTurnEndHook,EvaluatorOutput,EvaluatorError,AgentHarnessTriggerOptions,evaluatePromotionCondition,AgentHarness	substantial
agent/src/harness/agent_harness.rs::replace_tools@1561	packages/agent/src/harness/agent-harness.ts	3213	TriggerHandlingStartEvent,TriggerHandledEvent,TriggerPromptRequestEvent,PersistenceErrorEvent,TriggerExecutionStartedEvent,TriggerCompletedEvent,TriggerFailedEvent,TriggerRequestsMainRunEvent,TriggerPromotedEvent,PromotionPendingEvent,TurnEndedEvent,SkillsReloadedEvent,HarnessEvent,HarnessListener,BeforeTriggerDecision,BeforeTriggerContext,BeforeTriggerHook,TriggerPromptRequest,TriggerPromptDecision,OnTriggerPromptHook,TriggerDelivery,PromoteAction,PromotionCondition,PromotionConditionSkipReason,TriggerAction,BeforeTriggerActionContext,BeforeTriggerActionHook,RunningTriggerState,NotificationStatusSnapshot,ReloadSkillsFn,OnTurnEndContext,TurnEndAction,TurnEndDecision,OnTurnEndHook,EvaluatorOutput,EvaluatorError,AgentHarnessTriggerOptions,evaluatePromotionCondition,AgentHarness	substantial
agent/src/harness/compaction/branch_summarization.rs::summarize_branch@23	packages/agent/src/harness/compaction/branch-summarization.ts	286	BranchSummaryDetails,BranchPreparation,CollectEntriesResult,GenerateBranchSummaryOptions,collectEntriesForBranchSummary,prepareBranchEntries,generateBranchSummary	substantial
agent/src/harness/session/memory_storage.rs::with_metadata@36	packages/agent/src/harness/session/memory-storage.ts	133	InMemorySessionStorage	substantial
agent/src/harness/session/session.rs::type_str@160	packages/agent/src/harness/session/session.ts	264	buildSessionContext,Session	substantial
agent/src/harness/types.rs::with_path@60	packages/agent/src/harness/types.ts	836	Result,ok,err,getOrThrow,getOrUndefined,toError,Skill,PromptTemplate,AgentHarnessResources,AgentHarnessStreamOptions,AgentHarnessStreamOptionsPatch,FileKind,FileErrorCode,FileError,ExecutionErrorCode,ExecutionError,CompactionErrorCode,CompactionError,BranchSummaryErrorCode,BranchSummaryError,SessionErrorCode,SessionError,AgentHarnessErrorCode,AgentHarnessError,FileInfo,ExecutionEnvExecOptions,FileSystem,Shell,ExecutionEnv,SessionTreeEntryBase,MessageEntry,ThinkingLevelChangeEntry,ModelChangeEntry,CompactionEntry,BranchSummaryEntry,CustomEntry,CustomMessageEntry,LabelEntry,SessionInfoEntry,LeafEntry,SessionTreeEntry,SessionContext,SessionMetadata,JsonlSessionMetadata,SessionStorage,SessionCreateOptions,SessionForkOptions,SessionRepo,JsonlSessionCreateOptions,JsonlSessionListOptions,JsonlSessionRepoApi,AgentHarnessPhase,PendingSessionWrite,QueueUpdateEvent,SavePointEvent,AbortEvent,SettledEvent,BeforeAgentStartEvent,ContextEvent,BeforeProviderRequestEvent,BeforeProviderPayloadEvent,AfterProviderResponseEvent,ToolCallEvent,ToolResultEvent,SessionBeforeCompactEvent,SessionCompactEvent,SessionBeforeTreeEvent,SessionTreeEvent,ModelSelectEvent,ThinkingLevelSelectEvent,ResourcesUpdateEvent,AgentHarnessOwnEvent,AgentHarnessEvent,BeforeAgentStartResult,ContextResult,BeforeProviderRequestResult,BeforeProviderPayloadResult,ToolCallResult,ToolResultPatch,SessionBeforeCompactResult,SessionBeforeTreeResult,AgentHarnessEventResultMap,AgentHarnessPromptOptions,AbortResult,CompactResult,NavigateTreeResult,CompactionSettings,CompactionPreparation,FileOperations,TreePreparation,GenerateBranchSummaryOptions,BranchSummaryResult,AgentHarnessOptions	substantial
agent/src/harness/utils/shell_output.rs::truncate_shell_output@5	packages/agent/src/harness/utils/shell-output.ts	144	ShellCaptureOptions,ShellCaptureResult,sanitizeBinaryOutput,executeShellWithCapture	substantial
agent/src/harness/utils/truncate.rs::truncate_text@7	packages/agent/src/harness/utils/truncate.ts	345	DEFAULT_MAX_LINES,DEFAULT_MAX_BYTES,GREP_MAX_LINE_LENGTH,TruncationResult,TruncationOptions,formatSize,truncateHead,truncateTail,truncateLine	substantial
agent/src/types.rs::as_llm@145	packages/agent/src/types.ts	552	StreamFn,ToolExecutionMode,QueueMode,AgentToolCall,PermissionClassification,ControlPlanePromptRequest,ControlPlanePromptDecision,BeforeToolCallResult,AfterToolCallResult,BeforeToolCallContext,AfterToolCallContext,ShouldStopAfterTurnContext,AgentLoopTurnUpdate,PrepareNextTurnContext,AgentLoopConfig,ThinkingLevel,CustomAgentMessages,AgentMessage,AgentState,AgentToolResult,AgentToolUpdateCallback,AgentToolErrorCode,AgentToolError,AgentTool,AgentContext,AgentEvent	substantial
agent/src/types.rs::to_pie_ai@84	packages/agent/src/types.ts	552	StreamFn,ToolExecutionMode,QueueMode,AgentToolCall,PermissionClassification,ControlPlanePromptRequest,ControlPlanePromptDecision,BeforeToolCallResult,AfterToolCallResult,BeforeToolCallContext,AfterToolCallContext,ShouldStopAfterTurnContext,AgentLoopTurnUpdate,PrepareNextTurnContext,AgentLoopConfig,ThinkingLevel,CustomAgentMessages,AgentMessage,AgentState,AgentToolResult,AgentToolUpdateCallback,AgentToolErrorCode,AgentToolError,AgentTool,AgentContext,AgentEvent	substantial
ai/src/api_registry.rs::list_api_ids@98	packages/ai/src/api-registry.ts	137	ApiStreamFunction,ApiStreamSimpleFunction,ApiProvider,errorStream,registerApiProvider,getApiProvider,getApiProviders,unregisterApiProviders,clearApiProviders	substantial
ai/src/bedrock_anthropic.rs::ingest@59		0		no-file
ai/src/bedrock_provider.rs::invoke_stream@114	packages/ai/src/bedrock-provider.ts	7	bedrockProviderModule	stub
ai/src/cli.rs::main_entry@6	packages/ai/src/cli.ts	172		substantial
ai/src/event_stream.rs::message_type@50	packages/ai/src/utils/event-stream.ts	89	EventStream,AssistantMessageEventStream,createAssistantMessageEventStream	substantial
ai/src/event_stream.rs::parse_message@79	packages/ai/src/utils/event-stream.ts	89	EventStream,AssistantMessageEventStream,createAssistantMessageEventStream	substantial
ai/src/providers/faux.rs::append_faux_responses@32	packages/ai/src/providers/faux.ts	517	FauxModelDefinition,FauxContentBlock,fauxText,fauxThinking,fauxToolCall,fauxAssistantMessage,FauxResponseFactory,FauxResponseStep,RegisterFauxProviderOptions,FauxProviderRegistration,registerFauxProvider	substantial
ai/src/providers/faux.rs::clear_faux_responses@38	packages/ai/src/providers/faux.ts	517	FauxModelDefinition,FauxContentBlock,fauxText,fauxThinking,fauxToolCall,fauxAssistantMessage,FauxResponseFactory,FauxResponseStep,RegisterFauxProviderOptions,FauxProviderRegistration,registerFauxProvider	substantial
ai/src/providers/faux.rs::set_faux_responses@26	packages/ai/src/providers/faux.ts	517	FauxModelDefinition,FauxContentBlock,fauxText,fauxThinking,fauxToolCall,fauxAssistantMessage,FauxResponseFactory,FauxResponseStep,RegisterFauxProviderOptions,FauxProviderRegistration,registerFauxProvider	substantial
ai/src/providers/simple_options.rs::translate_base@10	packages/ai/src/providers/simple-options.ts	53	buildBaseOptions,clampReasoning,adjustMaxTokensForThinking	substantial
ai/src/utils/abort.rs::drain_bytes_or_abort@60	packages/ai/src/utils/abort.ts	55	zeroUsage,abortedMessage	substantial
ai/src/utils/abort.rs::next_or_abort@93	packages/ai/src/utils/abort.ts	55	zeroUsage,abortedMessage	substantial
ai/src/utils/abort.rs::response_text_or_abort@78	packages/ai/src/utils/abort.ts	55	zeroUsage,abortedMessage	substantial
ai/src/utils/abort.rs::send_or_abort@21	packages/ai/src/utils/abort.ts	55	zeroUsage,abortedMessage	substantial
ai/src/utils/json_parse.rs::parse_partial_json@11	packages/ai/src/utils/json-parse.ts	125	repairJson,parseJsonWithRepair,parseStreamingJson	substantial
ai/src/utils/node_http_proxy.rs::proxy_from_env@9	packages/ai/src/utils/node-http-proxy.ts	124	NodeHttpProxyAgents,UNSUPPORTED_PROXY_PROTOCOL_MESSAGE,resolveHttpProxyUrlForTarget,createHttpProxyAgentsForTarget	substantial
ai/src/utils/oauth/pkce.rs::generate_pkce@12	packages/ai/src/utils/oauth/pkce.ts	35	generatePKCE	substantial+named
ai/src/utils/retry.rs::is_aborted@34	packages/ai/src/utils/retry.ts	175	DEFAULT_MAX_RETRIES,RetrySendOptions,RetryDelayTooLongError,isRetryableStatus,isRetryableTransportError,retryAfterMs,backoffDelayMs,sendWithRetry	substantial
ai/src/utils/sanitize_unicode.rs::sanitize_surrogates_u16@14	packages/ai/src/utils/sanitize-unicode.ts	26	sanitizeSurrogates	substantial+named
coding-agent/src/agent_session.rs::forward_to_listener@239	packages/coding-agent/src/core/agent-session.ts	3345	RETRY_MAX_DELAY_MS,retryBackoffMs,isRetryableErrorMessage,ParsedSkillBlock,parseSkillBlock,AgentSessionEvent,AgentSessionEventListener,AgentSessionConfig,ExtensionBindings,PromptOptions,ModelCycleResult,SessionStats,AgentSession	substantial
coding-agent/src/session/mod.rs::open_repo@20		0		no-file
coding-agent/src/skills.rs::skills_dirs@18	packages/agent/src/harness/skills.ts	440	SkillDiagnosticCode,SkillDiagnostic,formatSkillInvocation,loadSkills,loadSourcedSkills,joinEnvPath,dirnameEnvPath,basenameEnvPath,relativeEnvPath	substantial
coding-agent/src/tools/remove_skill.rs::with_base_dir@51	packages/coding-agent/src/tools/remove-skill.ts	263	deletionTarget,RemoveSkillToolInput,RemoveSkillToolDetails,RemoveSkillToolOptions,classifyRemoveSkillPermission,createRemoveSkillToolDefinition,createRemoveSkillTool	substantial
coding-agent/src/tools/set_skill_state.rs::with_base_dir@60	packages/coding-agent/src/tools/set-skill-state.ts	236	SetSkillStateToolInput,SetSkillStateToolDetails,SetSkillStateToolOptions,classifySetSkillStatePermission,createSetSkillStateToolDefinition,createSetSkillStateTool	substantial
coding-agent/src/triggers/cron.rs::next_run_after@63	packages/coding-agent/src/triggers/cron.ts	1621	CronJob,cronJobNextRunAfter,CronScheduleError,CronStorageError,AddCronJobError,CronExpression,parseCronExpression,cronExpressionNextAfter,CronRegistry,globalCronRegistry,loopStatePath,readLoopState,writeLoopState,composeStatefulPrompt,stripLoopProtocolTags,extractTagBlock,extractTagAll,cronActionHook,cronHarnessListener,cronTriggerForJob,CronNotificationHook,normalizeSchedule,cronControlPlaneAudit,NewCronJobTool,ListCronJobsTool,RemoveCronJobTool,SetCronJobStateTool,triggerRecordReceivedFrom	substantial+named
