kind	anchor	scope	count
rs-line	agent_loop.rs:124-135	packages/agent/src/agent-loop.ts	1
rs-line	agent_loop.rs:137-141	packages/agent/src/agent-loop.ts	1
rs-line	agent_loop.rs:143-154	packages/agent/src/agent-loop.ts	1
rs-line	agent_loop.rs:156-177	packages/agent/src/agent-loop.ts	1
rs-line	agent_loop.rs:265-323	packages/agent/src/agent-loop.ts	1
rs-line	agent_loop.rs:271-274	packages/agent/src/agent-loop.ts	1
rs-line	agent_loop.rs:276-279	packages/agent/src/agent-loop.ts	1
rs-line	agent_loop.rs:293-298	packages/agent/src/agent-loop.ts	1
rs-line	agent_loop.rs:399-421	packages/agent/src/agent-loop.ts	1
rs-line	agent_loop.rs:470-486	packages/agent/src/agent-loop.ts	1
rs-line	agent_loop.rs:492-520	packages/agent/src/agent-loop.ts	1
rs-line	agent_loop.rs:521-587	packages/agent/src/agent-loop.ts	1
rs-line	agent_loop.rs:55-64	packages/agent/src/agent-loop.ts	2
rs-line	agent_loop.rs:73-179	packages/agent/src/agent-loop.ts	1
rs-line	agent_loop.rs:867-886	packages/agent/src/agent-loop.ts	1
rs-line	agent_loop.rs:888-904	packages/agent/src/agent-loop.ts	1
rs-line	agent_loop.rs:906-953	packages/agent/src/agent-loop.ts	1
rs-line	crates/agent/src/agent_loop.rs:410-414	packages/agent/src/agent-loop.ts	1
rs-line	main.rs:754-767	packages/agent/src/agent.ts	3
rs-line	agent_harness.rs:1000	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1011-1014	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:104-113	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1046-1048	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1050-1053	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1059-1074	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1076-1084	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1103-1495	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1117-1246	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:120-125	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1238-1243	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1259-1304	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1313-1322	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1324-1354	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1337-1343	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1356-1384	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:137-142	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1393-1413	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1420-1424	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1429-1439	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1460-1495	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1468-1471	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:148	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1511-1513	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1538-1552	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:156	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1565-1568	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1570-1577	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1616-1630	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1639-1659	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1655	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1662-1681	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1680	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1684-1692	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1716-1729	packages/agent/src/harness/agent-harness.ts	2
rs-line	agent_harness.rs:1727	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1732-1743	packages/agent/src/harness/agent-harness.ts	2
rs-line	agent_harness.rs:1745-1880	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1769	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:177-185	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1790-1804	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1806-1808	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1818-1821	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1864-1869	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1868	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1884-1893	packages/agent/src/harness/agent-harness.ts	2
rs-line	agent_harness.rs:1896-1905	packages/agent/src/harness/agent-harness.ts	2
rs-line	agent_harness.rs:1907-1942	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:193-198	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1946-1950	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1946-1951	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:1953-2018	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:199-218	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:2020-2035	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:2020-2039	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:2043-2115	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:2046-2054	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:2057-2069	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:2098-2099	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:2100-2101	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:2109-2113	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:2161-2169	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:223	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:2235	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:2237-2247	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:2249-2299	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:228	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:2301-2305	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:2307-2310	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:2312-2317	packages/agent/src/harness/agent-harness.ts	1
rs-line	agent_harness.rs:2312-2318	packages/agent/src/harness/agent-harness.ts	1
